Код товара,Автор,Название,Обложка,Рейтинг,Стикеры,Наличие,Цена,Издательство\Производитель:,Год издания\производства:,Место издания\производства:,Язык текста:,Тип обложки:,Обрез:,Иллюстраторы:,Формат:,Размеры в мм (ДхШхВ):,Вес:,Страниц:,Тираж:,Код товара:,ISBN:,В продаже с:,Описание,Тиснение:,Футляр:,Бумага:,Артикул:,Иллюстрации:,Возраст:,Язык оригинала:,Перевод:,Редактор/составитель:
1011243,Роулинг Дж. К.,Гарри Поттер и Кубок Огня,https://www.moscowbooks.ru/image/book/674/w259/i674488.jpg,5,Идея подарка,True,1729,Махаон; Азбука-Аттикус,2019,Москва,русский,Твердый переплет+суперобложка,,Кей Джим,60х100 1/8,290x247x42,2090 гр.,452,12000 экз.,1011243,978-5-389-13319-8,07.10.2019,"С момента, когда Смертный Знак загорелся в небе во время финального матча Кубка мира по квидишу, опасность неотступно преследует Гарри Поттера. Выбранный Кубком Огня, чтобы представлять Хогварц и защищать честь школы в легендарном Тремудром Турнире, Гарри проходит через сложнейшие испытания, которые могли бы стать вызовом для самых выдающихся колдунов. И первое из них — встреча с кровожадным венгерским хвосторогом. Но для Гарри соревнования Турнира — лишь прелюдия к гораздо более зловещему испытанию. В туманах деревушки Малый Висельтон, где находятся могилы предков Тома Реддля, Гарри сталкивается с самой черной магией…",,,,А0000014072,,14 +,английский,Спивак М.,
1011948,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. Том 9. 1985—1990,https://www.moscowbooks.ru/image/book/675/w259/i675133.jpg,0,,True,647,АСТ,2019,Москва,русский,Твердый переплет,,,60х90 1/16,215x145x35,540 гр.,496,1500 экз.,1011948,978-5-17-118843-6,10.10.2019,"Аркадий (1925-1991) и Борис (1933-2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей. В этот том вошли ""Отягощенные злом"", ""Жиды города Питера"" и ранее не публиковавшиеся рассказы.",,,,ASE000000000847243,,,,,
1011949,Лукьяненко С. В.,Шестой Дозор,https://www.moscowbooks.ru/image/book/675/w259/i675054.jpg,0,,True,360,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,206x133x21,290 гр.,352,3000 экз.,1011949,978-5-17-118536-7,10.10.2019,Это последняя книга о Светлом маге Антоне Городецком.,,,,ASE000000000846858,,,,,
1012069,"Стругацкий А. Н., Стругацкий Б. Н.",Понедельник начинается в субботу,https://www.moscowbooks.ru/image/book/675/w259/i675187.jpg,5,,True,304,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x24,295 гр.,288,5000 экз.,1012069,978-5-17-118864-1,11.10.2019,"В этот том вошел знаменитый роман братьев Стругацких ""Понедельник начинается в субботу"" — буквально раздерганная на цитаты история веселых, остроумных сотрудников таинственного института НИИЧАВО, где вполне всерьез занимаются исследованием магии и волшебства.",,,,ASE000000000847263,,,,,
1012072,"Стругацкий А. Н., Стругацкий Б. Н.",Трудно быть богом,https://www.moscowbooks.ru/image/book/675/w259/i675184.jpg,0,,True,304,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x20,250 гр.,224,4000 экз.,1012072,978-5-17-118639-5,11.10.2019,"Возможно, самое известное из произведений братьев Стругацких. Один из самых прославленных повестей отечественной фантастики. Увлекательная, полная драматизма история жизни, любви и приключений дона Руматы из королевства Арканар на далекой планете — рыцаря с двумя мечами, под именем которого скрывается Антон, резидент с планеты Земля.",,,,ASE000000000847008,,,,,
1012089,Достоевский Ф. М.,Преступление и наказание,https://www.moscowbooks.ru/image/book/675/w259/i675194.jpg,5,,True,136,Эксмо,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x28,425 гр.,592,7000 экз.,1012089,978-5-699-93016-6,11.10.2019,"""Преступление и наказание"" — высочайший образец криминального романа. В рамках жанра полицейского расследования писатель поставил вопросы, и по сей день не решенные. Кем должен быть человек: ""тварью дрожащей"", как говорит Раскольников, или ""Наполеоном""? И это проблема уже XXI века. Написанный в 1866 году роман ""Преступление и наказание"" до сих пор остается самой читаемой в мире книгой и входит в большинство школьных программ по литературе.",,,,ITD000000000832998,,,,,
1013352,"Лукьяненко С. В., Некрасов Ю., Белаш А.",Время для мага. Лучшая фантастика — 2020,https://www.moscowbooks.ru/image/book/677/w259/i677391.jpg,0,,True,404,АСТ,2019,Москва,русский,Твердый переплет,,,,207x133x25,270 гр.,352,3000 экз.,1013352,978-5-17-119814-5,23.10.2019,"Традиционный годовой сборник издательства АСТ включает самые свежие произведения признанных мастеров русскоязычной фантастики: Евгения Лукина, Леонида Каганова, Александра Громова, а также рассказы писателей-фантастов нового поколения — победителей мастер-классов, номинантов и обладателей литературных премий. Настоящим подарком читателям данного сборника станет абсолютно новая остросюжетная повесть Сергея Лукьяненко ""ВРЕМЯ ДЛЯ МАГА""!",,,,ASE000000000848220,,,,,
1017201,Роулинг Дж. К.,Гарри Поттер и узник Азкабана,https://www.moscowbooks.ru/image/book/680/w259/i680306.jpg,0,,True,810,Махаон; Азбука-Аттикус,2019,Москва,русский,Твердый переплет с окрашенным обрезом+суперобложка,,,84х108 1/32,208x133x28,610 гр.,544,3000 экз.,1017201,978-5-389-17026-1,11.11.2019,Специальное издание для учеников и выпускников «Вранзора» к 20-летию первой публикации книги «Гарри Поттер и узник Азкабана».,,,,А0000018894,,8 +,английский,Спивак М.,
1017758,Фрай М.,Так берегись,https://www.moscowbooks.ru/image/book/678/w259/i678909.jpg,0,,True,404,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x28,430 гр.,480,27000 экз.,1017758,978-5-17-114144-8,14.11.2019,"Эта книга не о любви, хотя читателю так, скорее всего, покажется. И не о смерти, хотя читателю, несомненно, покажется так. Скорее уж о ненависти и жизни, такой перевертыш гораздо точней. Ещё эта книга о границе между силой и слабостью; где она пролегает, не знает никто. О победе, оборачивающейся поражением, и о поражении, которое может обернуться победой, а может не обернуться, это уж как повезет. И о том, что продолжение, в любом случае, следует. Несмотря ни на что.",,,,ASE000000000836298,,,,,
1018117,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. Том 1. 1955-1959,https://www.moscowbooks.ru/image/book/679/w259/i679367.jpg,0,,True,647,АСТ,2018,Москва,русский,Твердый переплет,,,60х90 1/16,215x145x40,630 гр.,592,3500 экз.,1018117,978-5-17-108279-6,15.11.2019,"Аркадий (1925–1991) и Борис (1933–2012) Стругацкие — русские советские писатели–фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей. В этот том вошли ""Страна багровых туч"", ""Извне"", ""Путь на Амальтею"" и избранные рассказы.",,,,ASE000000000836262,,,,,
1019503,Роулинг Дж. К.,Случайная вакансия,https://www.moscowbooks.ru/image/book/684/w259/i684783.jpg,0,,True,640,Азбука; Азбука-Аттикус,2019,СПб,русский,Твердый переплет,,,,210x140x25,420 гр.,576,,1019503,978-5-389-05037-2,23.11.2019,В Пэгфорде на сороковом году жизни скоропостижно скончался член местного совета Барри Фейрбразер. Это событие повергло горожан в шок.,,,,А0000004262,,,английский,Петрова Е.,
1021047,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. том 18. 1972,https://www.moscowbooks.ru/image/book/682/w259/i682334.jpg,0,,True,3170,Сидорович,2019,СПб,русский,Твердый переплет,,,84х108 1/32,200x130x35,735 гр.,624,350 экз.,1021047,978-5-905909-77-1,03.12.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-77-1,,,,,
1021048,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. том 19. 1973,https://www.moscowbooks.ru/image/book/682/w259/i682330.jpg,0,,True,3170,Сидорович,2019,СПб,русский,Твердый переплет,,,84х108 1/32,200x130x40,865 гр.,720,350 экз.,1021048,978-5-905909-78-8,03.12.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-78-8,,,,,
1021555,Достоевский Ф. М.,Подросток,https://www.moscowbooks.ru/image/book/682/w259/i682834.jpg,0,,True,144,Азбука; Азбука-Аттикус,2020,СПб,русский,Твердый переплет,,,84х108 1/32,200x130x32,360 гр.,480,4000 экз.,1021555,978-5-389-15648-7,05.12.2019,"В настоящем издании представлен роман «Подросток». Наряду с романами «Преступление и наказание», «Идиот», «Бесы», «Братья Карамазовы» он составляет так называемое великое пятикнижие Достоевского.",,,,А0000017230,,,,,
1022058,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. Том 10. 1985—1990,https://www.moscowbooks.ru/image/book/683/w259/i683504.jpg,0,,True,647,АСТ,2019,Москва,русский,Твердый переплет,,,60х90 1/16,215x145x38,620 гр.,560,1500 экз.,1022058,978-5-17-119332-4,10.12.2019,"Аркадий (1925-1991) и Борис (1933-2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей. В этот том вошли ""сольные"" работы А.Н.Стругацкого, опубликованные им под псевдонимом С.Ярославцев: ""Экспедиция в преисподнюю"", ""Подробности жизни Никиты Воронцова"", ""Дьявол среди людей"".",,,,ASE000000000847704,,,,,
1022256,Достоевский Ф. М.,Преступление и наказание,https://www.moscowbooks.ru/image/book/683/w259/i683721.jpg,0,,True,320,АСТ,2020,Москва,русский,Твердый переплет,,,76х100 1/32,180x115x45,,672,4000 экз.,1022256,978-5-17-120419-8,11.12.2019,"""Преступление и наказание"" (1866) — одно из самых значительных произведений в истории мировой литературы. Это и глубокий филососфский роман, и тонкая психологическая драма, и захватывающий детектив, и величественная картина мрачного города, в недрах которого герои грешат и ищут прощения, жертвуют собой и отрекаются от себя ради ближних и находят успокоение в смирении, покаянии, вере. Главный герой романа Родион Раскольников решается на убийство, чтобы доказать себе и миру, что он не ""тварь дрожащая"", а ""право имеет"". Главным предметом исследования писателя становится процесс превращения добропорядочного, умного и доброго юноши в убийцу, а также то, как совершивший преступление Раскольников может искупить свою вину. ""Преступление и наказание"" неоднократно экранизировали, музыку к балету написал Чайковский, а недавно на одной из московских площадок по роману была поставлена рок-опера.",,,,ASE000000000848804,,,,,
1022450,Лукьяненко С. В.,Маги без времени,https://www.moscowbooks.ru/image/book/683/w259/i683856.jpg,0,Бестселлер,True,461,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x24,355 гр.,352,30000 экз.,1022450,978-5-17-120990-2,12.12.2019,"В Империи, где без малого век правит Тёмный Властелин, живётся не так уж и плохо. Натурфилософы постигают тайны науки, народ не бедствует, полиция охраняет порядок, а рунное волшебство — доступно всем. Вот только у волшебства есть цена, и за любое чудо придётся платить самым дорогим, что у тебя есть. Особенно, если ты стал врагом повелителя Тёмной Империи.",,,,ASE000000000849044,,,,,
1022876,Фицджеральд Ф. С.,Загадочная история Бенджамина Баттона. Upper-Intermediate,https://www.moscowbooks.ru/image/book/684/w259/i684186.jpg,0,,True,104,АСТ,2020,Москва,английский/русский,Мягкая обложка,,,70х90 1/32,165x107x20,155 гр.,320,3000 экз.,1022876,978-5-17-118846-7,14.12.2019,"История американской и мировой литературы невозможна без упоминания имени Фрэнсиса Скотта Фицджеральда; его произведения признаны мировой классикой. В романах автора нашел свое отражение так называемый ""век джаза"" - период в истории Америки с момента окончания Первой мировой войны и до начала Великой депрессии 30-х годов. В данную книгу вошли три произведения Фицджеральда: ""Загадочная история Бенджамина Баттона"", ""Хрустальная чаша"" и роман ""Ночь нежна"". Текст произведений сокращен и незначительно адаптирован для уровня 4 (для продолжающих учить английский язык верхней ступени), снабжен комментариями и словарем.",,,,ASE000000000847247,,,,,
1023274,"Достоевский Ф. М., Бахтин М. М.",Все о Достоевском: Идиот. Проблемы поэтики Достоевского. Комплект из двух книг,https://www.moscowbooks.ru/image/book/684/w259/i684452.jpg,0,,True,820,Эксмо,2019,Москва,русский,Твердый переплет + суперобложка,,,,200x125x70,1215 гр.,1440,200 экз.,1023274,978-5-04-110090-2,17.12.2019,"Хотите прочитать знаменитый роман и понять, как Достоевскому удалось в романе ""Идиот"" впервые с подлинной страстью, ярко и полно воплотить образ положительного героя, каким его представлял? Хотите узнать, что такое полифонизм романа Достоевского и прикоснуться к философскому пониманию культуры как диалога, вырастающее у Бахтина из наблюдений над прозой Достоевского? В князе Мышкине соединятся черты образа Христа и одновременно ребенка, умиротворенность, граничащая с беспечностью, и невозможность пройти мимо беды ближнего. В ""нормальном"" обществе людей, одержимых корыстью и разрушительными страстями, князь Мышкин — идиот. В мире, где красота замутнена нечистыми помыслами людей, такой герой беспомощен, хотя и прекрасен. Но ""красота спасет мир!"", утверждает Достоевский устами князя Мышкина, и в мире становится светлей.",,,,ITD000000001082460,,,,,
1023595,Фицджеральд Ф. С.,Английский с любовью. Ф.Скотт Фицджеральд. Лестница Иакова,https://www.moscowbooks.ru/image/book/684/w259/i684874.jpg,0,,True,272,Издательский дом ВКН,2020,Москва,русский/английский,Мягкая обложка,,,84х108 1/32,200x130x15,230 гр.,320,1500 экз.,1023595,978-5-7873-1576-9,19.12.2019,"В книгу вошли три очень разные истории от одного из лучших писателей-новеллистов ХХ столетия. Однако есть кое-что, что их объединяет: бесконечно многообразная тема отношений между мужчиной и женщиной — и слегка ироничный, но в то же время глубоко вовлеченный взгляд автора, тонко чувствующего малейшие движения человеческой души.",,,,360134,,,,,Комиссарова К.
1023935,"Стругацкий А. Н., Стругацкий Б. Н.",Малыш,https://www.moscowbooks.ru/image/book/685/w259/i685140.jpg,0,,True,184,АСТ,2019,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115x13,165 гр.,224,4000 экз.,1023935,978-5-17-118856-6,21.12.2019,"Экспедиция прогрессоров, затеянная ради переселения аборигенов умирающей планеты Панты на предположительно необитаемую планету Ковчег, сталкивается с загадочными явлениями. Ребенок, единственный выживший член экипажа звездолета ГСП, который разбился на Ковчеге несколько лет назад, становится мостом между негуманоидной, отказывающейся от любых контактов, расой и представителями Земли.",,,,ASE000000000847256,,,,,
